date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:34	20290/20290	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/dist/fonts/glyphicons-halflings-regular.eot	e:/My%20Websites/111/v3.bootcss.com/dist/fonts/glyphicons-halflings-regular.eot	(from http://v3.bootcss.com/dist/css/bootstrap.min.css)
19:50:35	62850/62850	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/dist/fonts/glyphicons-halflings-regular.svg	e:/My%20Websites/111/v3.bootcss.com/dist/fonts/glyphicons-halflings-regular.svg	(from http://v3.bootcss.com/dist/css/bootstrap.min.css)
19:50:36	23292/23292	---M--	200	added ('OK')	application/font-woff	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/dist/fonts/glyphicons-halflings-regular.woff	e:/My%20Websites/111/v3.bootcss.com/dist/fonts/glyphicons-halflings-regular.woff	(from http://v3.bootcss.com/dist/css/bootstrap.min.css)
19:50:36	2594/2594	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/starter-template/	e:/My%20Websites/111/v3.bootcss.com/examples/starter-template/index.html	(from http://v3.bootcss.com/getting-started/)
19:50:36	20290/20290	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/dist/fonts/glyphicons-halflings-regular.eot?	e:/My%20Websites/111/v3.bootcss.com/dist/fonts/glyphicons-halflings-regulard41d.eot	(from http://v3.bootcss.com/dist/css/bootstrap.min.css)
19:50:36	41236/41236	---MCZ	200	added ('OK')	application/x-font-ttf	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/dist/fonts/glyphicons-halflings-regular.ttf	e:/My%20Websites/111/v3.bootcss.com/dist/fonts/glyphicons-halflings-regular.ttf	(from http://v3.bootcss.com/dist/css/bootstrap.min.css)
19:50:37	6166/6166	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/grid/	e:/My%20Websites/111/v3.bootcss.com/examples/grid/index.html	(from http://v3.bootcss.com/getting-started/)
19:50:37	4470/4470	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/jumbotron/	e:/My%20Websites/111/v3.bootcss.com/examples/jumbotron/index.html	(from http://v3.bootcss.com/getting-started/)
19:50:38	22620/22620	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/screenshots/starter-template.jpg	e:/My%20Websites/111/v3.bootcss.com/examples/screenshots/starter-template.jpg	(from http://v3.bootcss.com/getting-started/)
19:50:38	3046/3046	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/jumbotron-narrow/	e:/My%20Websites/111/v3.bootcss.com/examples/jumbotron-narrow/index.html	(from http://v3.bootcss.com/getting-started/)
19:50:45	41029/41029	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/screenshots/navbar.jpg	e:/My%20Websites/111/v3.bootcss.com/examples/screenshots/navbar.jpg	(from http://v3.bootcss.com/getting-started/)
19:50:49	68675/68675	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/screenshots/jumbotron-narrow.jpg	e:/My%20Websites/111/v3.bootcss.com/examples/screenshots/jumbotron-narrow.jpg	(from http://v3.bootcss.com/getting-started/)
19:50:49	3671/3671	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/navbar/	e:/My%20Websites/111/v3.bootcss.com/examples/navbar/index.html	(from http://v3.bootcss.com/getting-started/)
